VISIT_ID,COOKIE_ID,PAGE_ID,EVENT_TYPE,SEQUENCE_NUMBER,EVENT_TIME
ccf365,c4ca42,1,1,1,2020-02-04 19:16:09.182
ccf365,c4ca42,2,1,2,2020-02-04 19:16:17.358
ccf365,c4ca42,6,1,3,2020-02-04 19:16:58.454
ccf365,c4ca42,9,1,4,2020-02-04 19:16:58.609
ccf365,c4ca42,9,2,5,2020-02-04 19:17:51.729
ccf365,c4ca42,10,1,6,2020-02-04 19:18:11.605
ccf365,c4ca42,10,2,7,2020-02-04 19:19:10.570
ccf365,c4ca42,11,1,8,2020-02-04 19:19:46.911
ccf365,c4ca42,11,2,9,2020-02-04 19:20:45.274
ccf365,c4ca42,12,1,10,2020-02-04 19:20:52.307
ccf365,c4ca42,13,3,11,2020-02-04 19:21:26.242
d58cbd,c81e72,1,1,1,2020-01-18 23:40:54.761
d58cbd,c81e72,2,1,2,2020-01-18 23:41:06.391
d58cbd,c81e72,4,1,3,2020-01-18 23:42:02.213
d58cbd,c81e72,4,2,4,2020-01-18 23:42:02.370
d58cbd,c81e72,5,1,5,2020-01-18 23:42:44.717
d58cbd,c81e72,5,2,6,2020-01-18 23:43:11.121
d58cbd,c81e72,7,1,7,2020-01-18 23:43:25.806
d58cbd,c81e72,8,1,8,2020-01-18 23:43:40.537
d58cbd,c81e72,8,2,9,2020-01-18 23:44:14.026
d58cbd,c81e72,10,1,10,2020-01-18 23:44:22.103
d58cbd,c81e72,10,2,11,2020-01-18 23:45:00.004
d58cbd,c81e72,12,1,12,2020-01-18 23:45:38.186
9a2f24,eccbc8,1,1,1,2020-02-21 03:19:10.032
9a2f24,eccbc8,4,1,2,2020-02-21 03:19:24.677
9a2f24,eccbc8,4,2,3,2020-02-21 03:19:48.146
9a2f24,eccbc8,7,1,4,2020-02-21 03:20:13.391
9a2f24,eccbc8,7,2,5,2020-02-21 03:20:13.869
9a2f24,eccbc8,10,1,6,2020-02-21 03:20:45.854
9a2f24,eccbc8,11,1,7,2020-02-21 03:21:20.335
9a2f24,eccbc8,12,1,8,2020-02-21 03:21:43.262
9a2f24,eccbc8,13,3,9,2020-02-21 03:22:22.501
7caba5,a87ff6,1,1,1,2020-02-22 17:49:37.646
7caba5,a87ff6,4,1,2,2020-02-22 17:50:23.736
7caba5,a87ff6,5,1,3,2020-02-22 17:50:26.878
7caba5,a87ff6,5,2,4,2020-02-22 17:51:17.963
7caba5,a87ff6,8,1,5,2020-02-22 17:51:53.119
7caba5,a87ff6,9,1,6,2020-02-22 17:52:21.958
7caba5,a87ff6,9,2,7,2020-02-22 17:52:56.251
f61ed7,e4da3b,1,1,1,2020-02-01 06:30:39.766
f61ed7,e4da3b,2,1,2,2020-02-01 06:30:50.502
f61ed7,e4da3b,4,1,3,2020-02-01 06:31:07.364
f61ed7,e4da3b,8,1,4,2020-02-01 06:31:29.543
f61ed7,e4da3b,9,1,5,2020-02-01 06:31:44.967
f61ed7,e4da3b,9,2,6,2020-02-01 06:32:39.425
f61ed7,e4da3b,10,1,7,2020-02-01 06:33:33.068
f61ed7,e4da3b,10,2,8,2020-02-01 06:33:40.811
f61ed7,e4da3b,11,1,9,2020-02-01 06:34:26.510
f61ed7,e4da3b,12,1,10,2020-02-01 06:34:48.748
f61ed7,e4da3b,13,3,11,2020-02-01 06:35:37.730
e0ce49,167909,1,1,1,2020-01-25 22:43:21.482
e0ce49,167909,2,1,2,2020-01-25 22:44:13.045
e0ce49,167909,5,1,3,2020-01-25 22:44:36.389
e0ce49,167909,5,2,4,2020-01-25 22:45:13.949
e0ce49,167909,6,1,5,2020-01-25 22:46:07.060
e0ce49,167909,8,1,6,2020-01-25 22:46:57.057
e0ce49,167909,9,1,7,2020-01-25 22:47:06.641
e0ce49,167909,9,2,8,2020-01-25 22:47:26.459
e0ce49,167909,10,1,9,2020-01-25 22:47:49.388
e0ce49,167909,11,1,10,2020-01-25 22:48:14.396
e0ce49,167909,11,2,11,2020-01-25 22:48:43.041
e0ce49,167909,12,1,12,2020-01-25 22:49:13.988
e0ce49,167909,13,3,13,2020-01-25 22:49:37.372
8479c1,8f14e4,1,1,1,2020-02-09 17:27:58.867
8479c1,8f14e4,2,1,2,2020-02-09 17:28:19.121
8479c1,8f14e4,9,1,3,2020-02-09 17:29:04.117
8479c1,8f14e4,11,1,4,2020-02-09 17:29:53.831
8479c1,8f14e4,11,2,5,2020-02-09 17:30:37.055
8479c1,8f14e4,12,1,6,2020-02-09 17:31:23.897
8479c1,8f14e4,13,3,7,2020-02-09 17:31:44.111
a6c424,c9f0f8,1,1,1,2020-02-12 11:23:54.788
a6c424,c9f0f8,2,1,2,2020-02-12 11:24:31.817
a6c424,c9f0f8,5,1,3,2020-02-12 11:25:02.767
a6c424,c9f0f8,5,2,4,2020-02-12 11:25:46.300
a6c424,c9f0f8,7,1,5,2020-02-12 11:26:35.253
a6c424,c9f0f8,9,1,6,2020-02-12 11:27:15.405
a6c424,c9f0f8,10,1,7,2020-02-12 11:28:06.345
a6c424,c9f0f8,11,1,8,2020-02-12 11:28:25.279
a6c424,c9f0f8,11,2,9,2020-02-12 11:29:18.892
5ef346,45c48c,1,1,1,2020-02-07 17:32:44.707
5ef346,45c48c,2,1,2,2020-02-07 17:33:12.180
5ef346,45c48c,3,1,3,2020-02-07 17:33:43.016
5ef346,45c48c,4,1,4,2020-02-07 17:33:44.699
5ef346,45c48c,5,1,5,2020-02-07 17:34:02.558
5ef346,45c48c,6,1,6,2020-02-07 17:34:23.327
5ef346,45c48c,11,1,7,2020-02-07 17:34:35.345
d39d35,d3d944,1,1,1,2020-01-23 21:47:03.576
d39d35,d3d944,2,1,2,2020-01-23 21:47:26.317
d39d35,d3d944,3,1,3,2020-01-23 21:47:33.352
d39d35,d3d944,4,1,4,2020-01-23 21:47:48.935
d39d35,d3d944,4,2,5,2020-01-23 21:48:06.468
d39d35,d3d944,6,1,6,2020-01-23 21:48:56.594
d39d35,d3d944,6,2,7,2020-01-23 21:49:00.300
d39d35,d3d944,9,1,8,2020-01-23 21:49:40.667
d39d35,d3d944,9,2,9,2020-01-23 21:50:38.725
d39d35,d3d944,12,1,10,2020-01-23 21:51:14.109
d39d35,d3d944,13,3,11,2020-01-23 21:51:22.420
9c2633,6512bd,1,1,1,2020-01-17 04:59:43.046
9c2633,6512bd,2,1,2,2020-01-17 05:00:12.080
9c2633,6512bd,4,1,3,2020-01-17 05:00:57.913
9c2633,6512bd,4,2,4,2020-01-17 05:01:05.620
9c2633,6512bd,7,1,5,2020-01-17 05:01:23.203
9c2633,6512bd,8,1,6,2020-01-17 05:02:19.898
9c2633,6512bd,9,1,7,2020-01-17 05:02:46.527
9c2633,6512bd,9,2,8,2020-01-17 05:03:14.581
